,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
"Congo, Dem. Rep. of the",2.4,0.9,-0.5,1.4,4.8,0.5,4.7,2.7,0.5,-1.3,-6.6,-8.4,-10.5,-13.5,-6.1,2.8,-1.9,-7.8,-3.9,-3.8,-8.1,-2.1,2.9,6.6,7.7,9.8,5.1,8.5,7.4,0.6,7.8,7.6,8.7,9.6,7.3,6.4,0.4,3.7,4.8,4.5,1.7,6.2,6.6,6.3,8.523065945105968,9.441817596902224,9.94715156570471,11.380367691497437,12.412414320976554
"Congo, Republic of ",12.7,2.6,2.4,2.4,2.4,2.4,2.3,2.3,21.9,21.3,1.0,3.4,4.2,1.3,-1.4,4.0,3.5,-1.0,8.9,-3.7,11.8,-4.8,1.0,0.5,-0.2,9.2,8.0,-6.6,6.3,11.6,9.9,2.2,9.9,-0.7,6.7,-3.6,-10.8,-4.4,-4.8,1.0,-6.2,1.5,2.8,4.1,0.7986389855969858,0.7986389855969858,0.7986389855969858,0.7986389855969858,0.7986389855969858
Costa Rica,0.8,-2.3,-7.3,2.9,8.0,0.7,5.5,4.8,3.4,5.7,3.6,2.3,9.2,7.1,4.5,4.2,1.4,5.5,7.2,4.2,3.9,3.5,3.4,4.3,4.4,4.0,7.3,8.2,4.7,-0.9,5.4,4.4,4.9,2.5,3.5,3.7,4.2,4.2,2.6,2.4,-4.3,7.8,4.3,2.7,3.4891492194626266,3.6775232584107096,3.6775232584107096,3.6775232584107096,3.6775232584107096
Croatia,3.1,0.7,1.45,1.85,2.9,2.3499999999999996,2.85,3.2,4.15,3.9,3.0,1.5,1.55,-8.0,5.9,6.6,5.9,6.6,1.9,-0.9,3.7,3.1,5.8,5.6,4.2,4.3,4.9,5.0,2.0,-7.2,-1.2,-0.1,-2.3,-0.4,-0.4,2.5,3.6,3.4,2.8,3.4,-8.6,13.1,6.3,1.7,7.018803470435493,5.291329311630802,4.495130403328784,5.6110888303822435,5.188689429741161
Cyprus,5.9,3.1,6.3,5.3,8.8,4.7,3.6,7.1,8.3,8.1,7.4,0.7,9.4,0.7,5.9,9.9,1.2,2.6,6.1,5.0,6.0,4.0,3.7,2.6,5.0,4.9,4.7,5.1,3.6,-2.0,2.3,0.4,-3.4,-6.6,-1.8,3.4,6.6,5.7,5.6,5.5,-4.4,6.6,5.6,2.5,3.2321431188067034,3.2321431188067034,3.2321431188067034,3.2321431188067034,3.2321431188067034
Czech Republic,2.7,2.9,3.4,3.65,2.85,0.7999999999999999,3.55,2.55,1.15,1.85,-6.4,-10.8,-8.600000000000001,-4.1,2.9,2.5,4.5,-0.5,-0.4,1.4,4.0,3.0,1.6,3.6,4.8,6.6,6.8,5.6,2.7,-4.7,2.4,1.8,-0.8,0.0,2.3,5.4,2.5,5.2,3.2,3.0,-5.5,3.6,2.4,-0.5,-0.49999999999999956,-0.49999999999999956,-0.49999999999999956,-0.49999999999999956,-0.49999999999999956
Côte d'Ivoire,5.2,3.5,0.2,-2.5,-2.0,3.6,4.8,-0.5,1.1,3.0,-1.1,0.0,-0.3,-0.2,0.2,5.6,8.1,5.7,4.9,1.6,-2.1,0.1,-1.7,-1.4,1.2,1.7,1.5,1.8,2.5,3.3,2.0,-4.9,10.9,9.3,8.8,8.8,7.2,6.1,3.8,8.3,1.7,7.0,6.7,6.2,5.640326836278105,5.413083375365664,5.320815970253626,5.283352740236244,5.268141587374286
Denmark,-0.5,-0.7,3.7,2.6,4.2,4.0,4.9,0.3,0.0,0.6,1.5,1.4,2.0,0.0,5.3,3.0,2.9,3.3,2.2,2.9,3.7,0.8,0.5,0.4,2.7,2.3,3.9,0.9,-0.5,-4.9,1.9,1.3,0.2,0.9,1.6,2.3,3.2,2.8,2.0,1.5,-2.0,4.9,3.6,0.0,0.2818875128769218,1.7334775939367624,1.9277789334387807,1.2605197993186255,1.1165420319845596
Djibouti,2.45,2.5,1.8,1.4,3.7,4.3,3.1,2.7,4.4,3.8,3.2,-4.5,0.6,-6.8,-1.4,-3.5,-3.7,-1.2,0.1,2.9,0.7,1.8,3.2,3.2,2.8,3.1,4.8,5.0,5.8,1.6,4.1,7.3,4.8,5.0,7.1,7.5,7.1,5.5,4.8,5.5,1.2,4.8,2.5,4.0,2.30810877253222,2.5718805934012723,2.8456213780775625,2.084943753187929,2.3614285848315353
Dominica,13.4,10.8,4.1,2.6,4.2,1.4,7.1,6.3,7.8,-0.2,5.4,1.3,2.0,2.2,0.0,3.0,3.1,2.2,3.8,0.4,2.3,-0.1,-2.8,6.4,3.1,0.7,4.7,6.4,7.1,-1.2,0.7,-0.2,-1.1,-1.0,4.8,-2.7,2.8,-6.6,3.5,5.5,-16.6,4.8,6.0,4.9,1.20082663852337,1.20082663852337,1.20082663852337,1.20082663852337,1.20082663852337
